id,latitude,longitude,neighbourhood,room_type,bedrooms,cleaning_fee,security_deposit,Free_parking_on_premises,extra_people,Pool,Dryer,m2,reviews_per_month,Hot_tub,Air_conditioning,Crib,Washer,Dishwasher,Suitable_for_events,property_type,Full_kitchen,Internet,Bathtub,Cable_TV,price
11655166,-22.96579,-43.226620000000004,6,0,1.0,150.0,1000.0,1,100.0,0,0,14269.0,0.64,0,1,0,1,0,0,4,0,1,0,1,298.0
11665013,-22.95156,-43.18828,8,0,1.0,165.0,1001.0,0,67.0,0,0,11378.0,0.29,0,1,0,1,0,0,1,0,1,0,1,126.0
11667477,-22.98328,-43.196020000000004,1,0,4.0,200.0,0.0,0,50.0,1,0,20908.0,0.56,0,1,0,1,0,0,1,0,1,0,1,479.0
11668503,-22.93242,-43.1874,10,0,3.0,200.0,500.0,1,0.0,0,0,9687.0,0.05,0,1,0,1,0,0,1,0,0,0,0,348.0
11671466,-22.98295,-43.224090000000004,3,0,3.0,190.0,5000.0,0,0.0,1,1,23625.0,1.04,0,1,0,1,0,0,1,0,0,0,1,726.0
11679012,-22.98627,-43.23023,3,0,2.0,149.0,0.0,0,0.0,0,1,23625.0,0.7,0,1,0,1,0,0,1,0,0,0,1,550.0
11687248,-23.00964,-43.3286,7,0,2.0,294.0,2099.0,1,63.0,1,1,9334.0,2.47,0,1,1,1,0,0,1,0,0,0,1,588.0
11691696,-22.96935,-43.18784,0,1,4.0,0.0,0.0,0,120.0,0,0,12169.0,0.08,0,0,0,0,0,0,1,0,1,0,0,84.0
11695437,-22.91064,-43.18274,14,0,1.0,143.0,420.0,0,55.0,0,0,7660.0,0.87,0,0,0,0,0,0,1,0,0,0,1,122.0
11698244,-22.983829999999998,-43.2041,1,1,1.0,21.0,0.0,0,97.0,0,0,20908.0,2.37,0,1,0,1,0,0,1,0,1,0,1,252.0
11703873,-22.985039999999998,-43.19055,0,0,0.0,140.0,0.0,0,25.0,0,0,12169.0,0.25,0,1,0,0,0,0,1,0,1,0,0,243.0
11708494,-22.98404,-43.2137,1,0,2.0,252.0,0.0,0,0.0,0,0,20908.0,1.36,0,1,0,1,0,0,1,0,0,0,1,290.0
11712405,-22.97081,-43.39287,7,0,2.0,0.0,0.0,1,100.0,1,0,9334.0,0.08,0,1,0,1,0,0,1,0,1,0,1,802.0
11719906,-22.98414,-43.21747,3,0,2.0,170.0,700.0,1,100.0,0,0,23625.0,0.16,0,1,0,1,0,0,1,0,0,0,0,252.0
11727823,-22.94865,-43.18943,8,0,1.0,180.0,1000.0,1,50.0,0,0,11378.0,0.36,0,1,0,1,0,0,1,0,1,0,1,202.0
11736200,-23.005489999999998,-43.32424,7,0,3.0,200.0,0.0,1,0.0,1,1,9334.0,0.25,0,1,0,1,0,0,1,0,0,0,1,298.0
11740322,-22.93692,-43.19177,10,1,1.0,27.0,0.0,0,0.0,0,0,9687.0,2.34,0,1,0,1,0,0,4,0,1,0,1,92.0
11751195,-23.01109,-43.32922,7,0,1.0,210.0,0.0,1,0.0,1,0,9334.0,0.43,0,1,0,1,0,0,0,0,0,0,1,243.0
11755099,-23.00809,-43.32123,7,0,1.0,180.0,1000.0,1,42.0,1,1,9334.0,1.56,0,1,0,1,0,0,1,0,1,0,1,252.0
11767719,-22.974629999999998,-43.18916,0,0,3.0,260.0,0.0,0,55.0,0,0,12169.0,2.01,0,1,1,1,0,0,1,0,1,0,1,298.0
11770731,-22.92931,-43.17576,2,1,1.0,50.0,500.0,0,90.0,0,0,11099.0,0.27,0,1,0,1,0,0,4,0,0,0,0,59.0
11774728,-22.96804,-43.187459999999994,0,0,1.0,160.0,1000.0,0,0.0,0,0,12169.0,0.2,0,1,0,1,0,0,1,0,0,0,1,680.0
