id,neighbourhood,bedrooms,realizado,previsto,diferenca_relativa,ranking
32239860,Lagoa,1.0,185.0,186.9311798255182,-0.010330966868773661,0.9250162456931786
24391627,Santa Teresa,2.0,105.0,200.1949407005722,-0.47551122105005383,0.9246276731718
849186,Ipanema,2.0,332.0,334.65409117372155,-0.007930849326876377,0.9242404770215307
14092819,Copacabana,0.0,122.0,234.48717303968985,-0.47971567732896847,0.9232687041190105
11247166,Barra da Tijuca,2.0,206.0,397.7644372364115,-0.48210553605232487,0.9224962513141454
8319219,Copacabana,1.0,122.0,236.03786519288215,-0.4831337764374978,0.9221639023088087
20770838,Barra da Tijuca,3.0,151.0,150.9517380650941,0.00031971764965765814,0.9215737195515322
36383175,Ipanema,1.0,88.0,172.2378297899321,-0.48907856010884376,0.920242422693144
16480704,Ipanema,3.0,449.0,446.58906743136436,0.005398548116062329,0.9199321342976143
22178855,Copacabana,1.0,151.0,150.09286622962097,0.006043816692735016,0.9197235698678131
19373661,Ipanema,1.0,109.0,214.2331716073603,-0.4912085781011929,0.91955395589947
14024477,Botafogo,1.0,151.0,149.80329631175385,0.007988500371551854,0.9190950070378866
10066703,Copacabana,2.0,239.0,236.72389164525057,0.009615034371605935,0.9185692769023471
31051808,Botafogo,3.0,348.0,344.5181871519593,0.010106325232998481,0.9184104813215965
29677590,Copacabana,3.0,445.0,440.52447217378887,0.01015954415455389,0.9183932798423519
35053326,Copacabana,1.0,202.0,199.89010547202648,0.010555272473298016,0.9182653720933327
9672192,Barra da Tijuca,0.0,109.0,216.2177747092154,-0.4958786337219929,0.9180444953075496
35054619,Copacabana,2.0,252.0,248.4234167321178,0.01439712614426747,0.9170236038603327
18409214,Copacabana,3.0,399.0,392.81203576573483,0.01575299041487499,0.9165853598969506
8843341,Barra da Tijuca,4.0,550.0,541.3784858565737,0.01592511407206243,0.9165297258962966
14279238,Centro,2.0,160.0,157.45918502823992,0.016136340165258778,0.9164614531626175
4436635,Ipanema,1.0,298.0,293.2060948735229,0.01634995046247245,0.9163924098038541
16374554,Copacabana,1.0,88.0,176.4384135226704,-0.5012423981657885,0.9163108133753278
35065945,Copacabana,1.0,160.0,157.29680359758714,0.017185323163517285,0.9161223997067202
3303996,Copacabana,2.0,210.0,425.69141935160906,-0.5066849119959687,0.9145516779785142
30341482,Ipanema,1.0,113.0,229.48305665341064,-0.5075889189908063,0.9142594838283096
4947124,Copacabana,1.0,147.0,143.57917465423546,0.023825358754168358,0.9139761999894417
8110819,Leblon,2.0,202.0,411.11622763205554,-0.5086547637307381,0.9139149803014421
28202818,Barra da Tijuca,2.0,201.0,409.43470051590083,-0.5090792261947179,0.9137777850699179
11796847,Recreio dos Bandeirantes,3.0,164.0,334.2520649726074,-0.5093523206402925,0.9136895151783065
12234922,Botafogo,2.0,101.0,206.71618476875716,-0.5114073911871799,0.9130252729816342
20569611,Leme,1.0,202.0,196.70183635128038,0.026934998406714872,0.912971098789001
29907291,Leblon,1.0,332.0,322.6612882319324,0.028942770975843857,0.9123221442975082
2644760,Gávea,3.0,399.0,387.38716378730874,0.029977338689175514,0.9119877501660997
2897900,Lagoa,1.0,109.0,224.69448313458943,-0.5148968569258986,0.911897403969541
16121270,Leme,2.0,181.0,373.5481652616225,-0.5154573979148506,0.9117162252852422
10186302,Ipanema,2.0,319.0,309.1413274227128,0.03189050347774014,0.9113693749070716
13937507,Barra da Tijuca,1.0,298.0,288.6959116815053,0.0322279877962357,0.9112602928488428
868851,Ipanema,2.0,449.0,434.1979429820982,0.03409057379738001,0.9106582657219564
196312,Copacabana,1.0,181.0,175.0067653022909,0.03424573151418997,0.910608115471494
31589259,Leblon,1.0,223.0,215.5947371186938,0.03434806888272646,0.9105750378729748
13414390,Botafogo,1.0,139.0,133.90574904364414,0.03804355670118009,0.909380578174244
11801963,Copacabana,3.0,500.0,481.5977888423391,0.038210746776674354,0.9093265388113733
14230184,Barra da Tijuca,1.0,189.0,181.9098943691388,0.038975920773576256,0.9090792184177701
16313306,Ipanema,1.0,97.0,204.3710202903735,-0.52537302078259,0.9085112865910363
20494124,Leblon,2.0,369.0,354.20689786154327,0.04176401483925707,0.9081780475409249
22372925,Copacabana,3.0,353.0,338.8304092563262,0.04181912353963013,0.9081602352452609
4987188,Copacabana,1.0,197.0,188.49126602218416,0.04514126387593165,0.9070864493365576
8104975,Copacabana,1.0,319.0,305.1165304054714,0.045502187561187846,0.9069697911800341
19118475,Copacabana,2.0,374.0,357.55333846326687,0.04599778485475614,0.9068096036694675
31011820,Barra da Tijuca,3.0,382.0,364.5965976711096,0.047733309745773944,0.9062486453764613
6278027,Copacabana,3.0,348.0,331.8908346711456,0.04853754200478644,0.9059887005277697
14996008,Ipanema,1.0,168.0,160.01233629364833,0.049919049314379293,0.905542168192696
2748612,Copacabana,1.0,168.0,159.81804428453626,0.05119544386925923,0.9051296105195599
8825431,Barra da Tijuca,1.0,88.0,189.74708419341152,-0.5362247574234105,0.9050037761579145
12039211,Copacabana,1.0,88.0,189.78697177481885,-0.5363222291969993,0.9049722712224268
